"Površina in število nasadov, vinorodne dežele, Slovenija, 2009 in 2015"

" ";" ";" ";"Vinogradi";"Trsnice";"Matičnjaki";"Namizno grozdje"
"Površina (ha)"
" ";"2009"
" ";" ";"SLOVENIJA";16354.3;79.8;41.3;5.0
" ";" ";"Podravje";6943.6;19.8;12.6;-
" ";" ";"Posavje";2746.0;z;2.5;z
" ";" ";"Primorje";6642.7;28.2;21.0;z
" ";" ";"Izven vinorodnih dežel";22.0;z;5.2;z
" ";"2015"
" ";" ";"SLOVENIJA";15688.0;82.0;36.2;-
" ";" ";"Podravje";6515.7;12.4;7.5;-
" ";" ";"Posavje";2755.3;-;1.8;-
" ";" ";"Primorje";6391.3;30.3;21.9;-
" ";" ";"Izven vinorodnih dežel";25.6;39.3;4.9;-
"Število nasadov"
" ";"2009"
" ";" ";"SLOVENIJA";42970;94;81;7
" ";" ";"Podravje";16652;34;28;-
" ";" ";"Posavje";14040;z;5;z
" ";" ";"Primorje";12085;26;41;z
" ";" ";"Izven vinorodnih dežel";193;z;7;z
" ";"2015"
" ";" ";"SLOVENIJA";49473;64;63;-
" ";" ";"Podravje";18957;18;13;-
" ";" ";"Posavje";16186;-;3;-
" ";" ";"Primorje";14076;17;41;-
" ";" ";"Izven vinorodnih dežel";254;29;6;-

"Vir: Statistični urad Republike Slovenije."

"Povezane vsebine: "
"- (seznam "
"HREF=http://www.stat.si/StatWeb/Common/PrikaziDokument.ashx?IdDatotek-"
"e=8222 target=_blank) Metodološka pojasnila"

