"Površina, število vinogradov in število sadik glede na zatravljenost tal, vinorodne dežele in okoliši, Slovenija, 2009 in 2015"

" ";" ";" ";"Nezatravljeno";"Zatravljeno"
"Površina (ha)"
" ";"2009"
" ";" ";"SLOVENIJA";2621.3;13732.9
" ";" ";"Podravje";121.8;6821.9
" ";" ";"Posavje";62.8;2683.2
" ";" ";"Primorje";2435.9;4206.8
" ";" ";"Izven vinorodnih okolišev";0.8;21.2
" ";"2015"
" ";" ";"SLOVENIJA";2156.7;13531.3
" ";" ";"Podravje";87.0;6428.7
" ";" ";"Posavje";45.7;2709.7
" ";" ";"Primorje";2023.0;4368.4
" ";" ";"Izven vinorodnih okolišev";1.1;24.6
"Število vinogradov"
" ";"2009"
" ";" ";"SLOVENIJA";7498;35472
" ";" ";"Podravje";602;16050
" ";" ";"Posavje";394;13646
" ";" ";"Primorje";6494;5591
" ";" ";"Izven vinorodnih okolišev";8;185
" ";"2015"
" ";" ";"SLOVENIJA";7738;41735
" ";" ";"Podravje";501;18456
" ";" ";"Posavje";321;15865
" ";" ";"Primorje";6905;7171
" ";" ";"Izven vinorodnih okolišev";11;243
"Število sadik (v 1000)"
" ";"2009"
" ";" ";"SLOVENIJA";8416.2;50497.9
" ";" ";"Podravje";540.0;25673.7
" ";" ";"Posavje";289.8;10972.8
" ";" ";"Primorje";7581.7;13760.4
" ";" ";"Izven vinorodnih okolišev";4.7;91.0
" ";"2015"
" ";" ";"SLOVENIJA";7144.3;50598.9
" ";" ";"Podravje";358.3;24444.0
" ";" ";"Posavje";194.7;10991.3
" ";" ";"Primorje";6586.7;15065.9
" ";" ";"Izven vinorodnih okolišev";4.6;97.7

"Vir: Statistični urad Republike Slovenije. "
" "
"Zaradi zaokroževanja števil se seštevki ponekod ne ujemajo.  "
"Podatki za leto 2009 so bili popravljeni (10.05.2016). Zarad tehnične "
"napake, so bile zamenjane kategorije zatravljenosti tal. Za napako se "
"opravičujemo."

"Povezane vsebine: "
"- (seznam "
"HREF=http://www.stat.si/StatWeb/Common/PrikaziDokument.ashx?IdDatotek-"
"e=8222 target=_blank) Metodološka pojasnila"

